Date,Rating
"Dined on March 22, 2025",4.6 stars
"Dined on March 14, 2025",3.6 stars
"Dined on February 14, 2025",4.7 stars
"Dined on February 14, 2025",4.8 stars
"Dined on February 14, 2025",4.4 stars
"Dined on February 14, 2025",4.3 stars
"Dined on February 8, 2025",4.4 stars
"Dined on February 2, 2025",4.7 stars
"Dined on February 2, 2025",4.8 stars
"Dined on February 1, 2025",4.8 stars
"Dined on January 31, 2025",4.6 stars
"Dined on January 27, 2025",3.6 stars
"Dined on January 26, 2025",4.7 stars
"Dined on January 26, 2025",4.8 stars
"Dined on January 25, 2025",4.4 stars
"Dined on January 24, 2025",4.3 stars
"Dined on January 24, 2025",4.4 stars
"Dined on January 18, 2025",4.7 stars
"Dined on December 28, 2024",4.8 stars
"Dined on December 26, 2024",4.8 stars
"Dined on December 25, 2024",4.6 stars
"Dined on December 25, 2024",3.6 stars
"Dined on December 25, 2024",4.7 stars
"Dined on December 23, 2024",4.8 stars
"Dined on October 8, 2024",4.4 stars
"Dined on September 28, 2024",4.3 stars
"Dined on June 14, 2024",4.4 stars
"Dined on May 5, 2024",4.7 stars
"Dined on April 13, 2024",4.8 stars
"Dined on March 23, 2024",4.8 stars
"Dined on March 8, 2024",4.6 stars
"Dined on March 5, 2024",3.6 stars
"Dined on February 20, 2024",4.7 stars
"Dined on February 17, 2024",4.8 stars
"Dined on February 12, 2024",4.4 stars
"Dined on January 27, 2024",4.3 stars
"Dined on January 26, 2024",4.4 stars
"Dined on January 25, 2024",4.7 stars
"Dined on January 20, 2024",4.8 stars
"Dined on January 19, 2024",4.8 stars
"Dined on January 13, 2024",4.6 stars
"Dined on January 8, 2024",3.6 stars
"Dined on December 25, 2023",4.7 stars
"Dined on December 16, 2023",4.8 stars
"Dined on December 15, 2023",4.4 stars
"Dined on December 14, 2023",4.3 stars
"Dined on December 7, 2023",4.4 stars
"Dined on November 11, 2023",4.7 stars
"Dined on September 9, 2023",4.8 stars
"Dined on August 18, 2023",4.8 stars
"Dined on July 2, 2023",4.6 stars
"Dined on May 5, 2023",3.6 stars
"Dined on May 5, 2023",4.7 stars
"Dined on April 22, 2023",4.8 stars
"Dined on April 14, 2023",4.4 stars
"Dined on April 7, 2023",4.3 stars
